Kurzname;Haltestelle;Linie;Barrierefreiheit;Ebene;Ausstieg aus der Bahn;Gleis;Aufzug;Rolltreppe;Rampe
VSG;Venloer Straße/Gürtel;3, 4;JA;;;;;;
WOF;Wolffsohnstraße;3, 4;JA;;;;;;
APB;Appellhofplatz/Breite Straße;3, 4, 16, 18;JA;U-Bahn;;;J;;
PSS;Poststraße;3, 4, 16, 18;JA;Straße;;;;;
SEV;Severinstraße;3, 4, 17;JA;Straße;Erhöhter Bahnsteig;;;;
HBP;Hans-Böckler-Platz/Bf West;3, 4, 5;JA;U-Bahn;;;;;
FSP;Friesenplatz;3, 4, 5, 12, 15;NEIN;U-Bahn;;;;;
AEB;Am Emberg;4;eingeschraenkt;;;;;;
GRU;Grünstraße;4;JA;Straße;;;;;
IMW;Im Weidenbruch;4;JA;;;;;;
KEU;Keupstraße;4;JA;Straße;;;;;
LEU;Leuchterstraße;4;JA;;;;;;
MBA;Mülheim Berliner Straße;4;JA;Straße;;;;;
ODS;Odenthaler Straße;4;JA;;;;;;
SLB;Schlebusch;4;JA;;;;;;
VSS;Von-Sparr-Straße;4;JA;Straße;;;;;
APB;Appellhofplatz/Zeughaus;5;NEIN;U-Bahn;;;N;;
GUT;Gutenbergstraße;5;JA;Straße;;;;;
ILT;Iltisstraße;5;JA;Straße;;;;;
KOE;Alter Flughafen Butzweilerhof;5;JA;;;;;;
KPS;Sparkasse Am Butzweilerhof;5;JA;Straße;;;;;
LEN;Lenauplatz;5;JA;Straße;;;;;
LIE;Liebigstraße;5;JA;Straße;;;;;
MAR;Margaretastraße;5;JA;;;;;;
RAT;Rathaus;5;JA;U-Bahn;;;;;
RKL;Rektor-Klein-Straße;5;JA;;;;;;
NBS;Nußbaumerstraße;5, 13;NEIN;Straße;Hohe Stufen;;;;
SSG;Subbelrather Straße/Gürtel;5, 13;NEIN;Straße;Hohe Stufen;;;;
DOM;Dom/Hbf;5, 16, 18;JA;U-Bahn;No steps;;;;
BRA;Brahmsstraße;7;JA;;;;;;
BZT;Frechen-Benzelrath;7;JA;;;;;;
DRE;Drehbrücke;7;JA;Straße;No steps;;;;
DSG;Dürener Straße/Gürtel;7;JA;Straße;No steps;;;;
DZF;Deutzer Freiheit;7;JA;U-Bahn;;;;;
EGI;Ensen Gilgaustraße;7;JA;;;;;;
EKL;Ensen Kloster;7;JA;;;;;;
FRB;Frechen Bf;7;JA;;;;;;
FRK;Frechen Kirche;7;JA;;;;;;
FRR;Frechen Rathaus;7;JA;;;;;;
HVO;Haus Vorst;7;eingeschraenkt;;;;;;
MAD;Marsdorf;7;eingeschraenkt;Straße;;;;;
MHG;Mühlengasse;7;JA;;;;;;
PAB;Poll Baumschulenweg;7;JA;Straße;;;;;
PKI;Poller Kirchweg;7;JA;Straße;;;;;
POS;Poll Salmstraße;7;JA;Straße;;;;;
PST;Porz Steinstraße;7;JA;Straße;;;;;
PZM;Porz Markt;7;JA;Straße;;;;;
RAI;Raiffeisenstraße;7;JA;Straße;;;;;
RSH;Rosenhügel;7;JA;;;;;;
SGH;Stüttgenhof;7;eingeschraenkt;;;;;;
SVB;Severinsbrücke;7;JA;Straße;;;;;
WBS;Westhoven Berliner Straße;7;JA;;;;;;
WKS;Westhoven Kölner Straße;7;eingeschraenkt;;;;;;
WUE;Wüllnerstraße;7;JA;;;;;;
ZDF;Zündorf;7;JA;;;;;;
AUT;Autobahn;9;JA;;;;;;
DBS;Dasselstraße/Bf Süd;9;JA;Straße;No steps;;;;
KGF;Königsforst;9;JA;;;;;;
LIN;Uniklinik Köln;9;JA;Straße;;;;;
MAK;Mauritiuskirche;9;JA;Straße;;;;;
MOM;Mommsenstraße;9;JA;;;;;;
OSH;Ostheim;9;JA;;;;;;
POZ;Porzer Straße;9;JA;Straße;;;;;
RHM;Rath/Heumar;9;JA;;;;;;
SHP;Sülz Hermeskeiler Platz;9;JA;;;;;;
SWG;Steinweg;9;JA;;;;;;
UNI;Universität;9;JA;Straße;;;;;
VGT;Vingst;9;JA;;;;;;
WEY;Weyertal;9;JA;Straße;;;;;
ZPG;Zülpicher Straße/Gürtel;9;JA;Straße;;;;;
ZPL;Zülpicher Platz;9, 12, 15;JA;Straße;;;;;
