Kurzname;Haltestelle;Linie;Barrierefreiheit;Ausstieg;Aufzug;Rolltreppe
MHG;Mühlengasse;7;JA;;;
MHS;Maria Himmelfahrt Straße;3, 13;JA;;;
MIC;Michaelshoven;16, 17;JA;;;
MLG;Weinsbergstraße/Gürtel;13;NEIN;;;
MOL;Moltkestraße;1, 7;JA;;;
MOM;Mommsenstraße;9;JA;;;
MOW;Mollwitzstraße;12, 15;JA;;;
MRH;Merheim;1;JA;;;
MSO;Koelnmesse;3, 4;JA;;;
MWG;Mohnweg;1;JA;;;
NBS;Nußbaumerstraße;5, 13;NEIN;;;
NEU;Neumarkt;1, 3, 4, 7, 9, 16, 18;JA;;;
NEW;Neuenweg;1;JA;;;
NFS;Neufelder Straße;3, 13;JA;;;
NIL;Niehl Nord;12;JA;;;
NIS;Niehl Sebastianstraße;16;JA;;;
NRO;Nesselrodestraße;16;JA;;;
NSG;Neusser Straße/Gürtel;12, 13, 15;JA;;;
OBU;Bayenthalgürtel;16, 17;JA;;;
ODS;Odenthaler Straße;4;JA;;;
OHR;Ollenhauerring;3;JA;;;
OJS;Melatengürtel;13;NEIN;;;
OSH;Ostheim;9;JA;;;
PAB;Poll Baumschulenweg;7;JA;;;
PAB;Poll Baumschulenweg;7;JA;;;
PIU;Piusstraße;3, 4;JA;;;
PKI;Poller Kirchweg;7;JA;;;
POH;Pohligstraße;12;JA;;;
POS;Poll Salmstraße;7;JA;;;
POZ;Porzer Straße;9;JA;;;
PSS;Poststraße;3, 4, 16, 18;JA;;;
PST;Porz Steinstraße;7;JA;;;
PZM;Porz Markt;7;JA;;;
RAI;Raiffeisenstraße;7;JA;;;
RAT;Rathaus;5;JA;;;
RDP;Rudolfplatz;1, 7, 12, 15;JA;;;
RFR;Refrath;1;JA;;;
RHM;Rath/Heumar;9;JA;;;
RKL;Rektor-Klein-Straße;5;JA;;;
ROE;Röttgensweg;9;JA;;;
RPP;Reichenspergerplatz;16, 18;NEIN;;;
RSH;Rosenhügel;7;JA;;;
SBU;Sülzburgstraße;18;JA;;;
SCE;Scheibenstraße;12, 15;JA;;;
SEV;Severinstraße;3, 4, 17;JA;;;
SGH;Stüttgenhof;7;eingeschraenkt;;;
SGS;Siegstraße;16, 17;JA;;;
SHP;Sülz Hermeskeiler Platz;9;JA;;;
SHS;Schönhauser Straße;16, 17;JA;;;
SLA;Slabystraße;13, 18;NEIN;;;
SLB;Schlebusch;4;JA;;;
SRG;Schaffrathsgasse;3;JA;;;
SSG;Subbelrather Straße/Gürtel;5, 13;NEIN;;;
STD;RheinEnergieSTADION;1;JA;;;
STE;Stegerwaldsiedlung;3, 4;JA;;;
SUT;Sürth Bf;16, 17;JA;;;
SVB;Severinsbrücke;7;JA;;;
SVS;Suevenstraße;3, 4;JA;;;
SWG;Steinweg;9;JA;;;
SZG;Sülzgürtel;13, 18;JA;;;
THB;Thielenbruch;3, 13;JA;;;
UBI;Ubierring;15;JA;;;
UBI;Ubierring;16;NEIN;;;
ULR;Ulrepforte;15;JA;;;
ULR;Ulrepforte;16;NEIN;;;
UNI;Universität;9;JA;;;
UNV;Universitätsstraße;1, 7;JA;;;
URF;Urfeld;16;JA;;;
VGT;Vingst;9;JA;;;
VOC;Brühl Vochem;18;JA;;;
VRS;Holweide Vischeringstraße;3, 13, 18;JA;;;
VSG;Venloer Straße/Gürtel;3, 4;JA;;;
VSG;Venloer Straße/Gürtel;13;NEIN;;;
VSS;Von-Sparr-Straße;4;JA;;;
WBS;Westhoven Berliner Straße;7;JA;;;
WDK;Buchforst Waldecker Straße;3;JA;;;
WEN;Wesseling Nord;16;NEIN;;;
WEP;Weißhausstraße;18;JA;;;
WES;Wesseling;16;eingeschraenkt;;;
WEW;Weiden West;1;JA;;;
WEY;Weyertal;9;JA;;;
WIC;Wichheimer Straße;3, 13, 18;JA;;;
WKS;Westhoven Kölner Straße;7;eingeschraenkt;;;
WNS;Weiden Römergrab;1;JA;;;
WOF;Wolffsohnstraße;3, 4;JA;;;
WPL;Mülheim Wiener Platz;4, 13, 18;JA;;;
WRB;Weiden Zentrum;1;JA;;;
WSS;Wilhelm-Sollmann-Straße;12, 15;JA;;;
WUE;Wüllnerstraße;13;NEIN;;;
WUE;Wüllnerstraße;7;JA;;;
ZDF;Zündorf;7;JA;;;
ZPG;Zülpicher Straße/Gürtel;9;JA;;;
ZPG;Zülpicher Straße/Gürtel;13;NEIN;;;
ZPL;Zülpicher Platz;9, 12, 15;JA;;;
ZSF;Zollstock Südfriedhof;12;JA;;;
